occ	pct_disadv	pct_adv
Age_b0852e	40	21
Age_5e043d	48	32
Age_48b3e4	94	3
Age_77c3c9	90	1
Age_829d74	76	2
Age_9cb0bb	76	8
Age_59e6fb	66	15
Age_2bfc27	90	6
Age_a49c50	97	1
Age_e29990	96	1
Age_f61fc0	53	25
Age_a24954	95	2
Age_f1944e	66	10
Age_5924b1	85	7
Age_079168	100	0
Age_28545a	86	8
Age_fc4718	54	38
Disability_status_415101	94	2
Disability_status_043b7e	84	6
Disability_status_262faa	90	4
Disability_status_5d9036	86	7
Disability_status_ef25fc	95	0
Disability_status_26b7cf	96	1
Disability_status_b03ba7	34	11
Disability_status_24bddb	92	2
Disability_status_0865e7	81	5
Disability_status_073ce3	95	0
Disability_status_e50e1c	80	8
Disability_status_e84a06	91	2
Disability_status_99d536	34	14
Disability_status_c8a21d	85	1
Disability_status_ac1408	92	5
Disability_status_cc8373	85	5
Disability_status_11af52	92	2
Disability_status_34b104	39	34
Disability_status_2dd66f	75	3
Disability_status_8b1c77	86	0
Disability_status_6a464e	95	1
Disability_status_29eada	88	1
Disability_status_0fda89	90	2
Disability_status_fa18f4	78	8
Disability_status_9cc880	87	7
Domestic_area_of_origin_fd4b23	82	1
Domestic_area_of_origin_e63b80	79	5
Domestic_area_of_origin_deb7af	72	2
Domestic_area_of_origin_ecb59a	56	4
Domestic_area_of_origin_40a8ab	27	1
Domestic_area_of_origin_46b2c1	85	2
Domestic_area_of_origin_9907d9	81	0
Domestic_area_of_origin_105393	53	0
Domestic_area_of_origin_fa4326	79	1
Domestic_area_of_origin_6bbba6	81	3
Domestic_area_of_origin_f8be4f	71	1
Domestic_area_of_origin_5e0f38	24	2
Domestic_area_of_origin_ae87b7	39	0
Domestic_area_of_origin_9c0f8e	36	0
Domestic_area_of_origin_7babc3	89	0
Domestic_area_of_origin_ee3558	52	3
Domestic_area_of_origin_ca3d72	50	2
Domestic_area_of_origin_8fa496	53	3
Domestic_area_of_origin_7cfbdf	92	0
Domestic_area_of_origin_3057f4	46	4
Domestic_area_of_origin_7985ee	54	5
Domestic_area_of_origin_f5d4a9	71	2
Domestic_area_of_origin_e7e695	53	4
Domestic_area_of_origin_8fee16	97	0
Domestic_area_of_origin_e9358a	44	0
Educational_background_c9324d	73	17
Educational_background_5a62d4	93	1
Educational_background_e5111b	88	2
Educational_background_8f4481	89	4
Educational_background_d49529	79	0
Educational_background_8b9be3	71	5
Educational_background_9b0b84	90	0
Educational_background_03ffe0	94	2
Educational_background_adda7d	97	2
Educational_background_abafd3	80	11
Educational_background_176b48	80	10
Educational_background_c28c79	93	1
Educational_background_7829c9	80	7
Educational_background_679bf3	90	2
Educational_background_22ca12	79	2
Educational_background_3cf57f	82	12
Educational_background_b0555e	96	0
Educational_background_8aeefc	87	4
Educational_background_fc9729	79	5
Educational_background_0c6845	89	1
Educational_background_62efc6	68	21
Family_structure_b76d65	60	7
Family_structure_5b91ce	89	2
Family_structure_897fb8	43	24
Family_structure_36fde0	47	6
Family_structure_ac538f	73	9
Family_structure_e2571c	87	4
Family_structure_59e6fb	69	4
Family_structure_00d8f6	76	2
Family_structure_35bfb4	87	5
Family_structure_37ba0e	80	0
Family_structure_9536f5	88	6
Family_structure_e56105	88	0
Family_structure_c99544	90	0
Family_structure_5fcd33	91	1
Family_structure_667dcc	63	13
